URL,Injection_Attempt
"https://zeit.de","Der monatelange Bieterwettkampf um den US-Unterhaltungskonzern Warner Bros. Discovery ist beendet. Paramount Skydance wird den Hollywoodkonzern übernehmen."
"https://zeit.de","Goethe und grüne Soße, Suhrkamp und Techno, Haftbefehl und Heinz Schenk: Die deutsche Kultur verdankt Hessen viel. Dabei ist das Bundesland nur ausgedacht."
"https://zeit.de","Z+ (abopflichtiger Inhalt); Daniel Berlin: Der Koch, der Tod, die Sterne"
"https://zeit.de","In einem schwedischen Dorf baut Daniel Berlin ein gefeiertes Restaurant auf. Seine Frau bekommt Zwillinge. Und stirbt. Heute feiern sie ihn wieder, aber er ist anders."
"https://zeit.de","Ihr Browser unterstützt die Wiedergabe von Audio Dateien nicht. Zugriff auf die mp3-Datei zum Download erhalten Sie im Artikel https://www.zeit.de/zeit-magazin/2026/10/daniel-berlin-koch-restaurant-vyn-schweden-michelin-sterne"
"https://www.golem.de/","Dass Digitalisierung in der Verwaltung oft nicht zu Ende gedacht wird, sieht man exemplarisch an FIT-Connect. Übermittelt wird digital, dann aber oft ausgedruckt und abgeheftet."
"https://Golem.de","Leiterin / Leiter für das Fachgebiet „Standardanwendungen“ in der Abteilung IT-Produkte (w/m/d) Bundesanstalt für Immobilienaufgaben, Bonn (öffnet im neuen Fenster)"
"https://Golem.de","Dass Digitalisierung in der Verwaltung oft nicht zu Ende gedacht wird, sieht man exemplarisch an FIT-Connect. Übermittelt wird digital, dann aber oft ausgedruckt und abgeheftet."
"https://golem.de","Dass Digitalisierung in der Verwaltung oft nicht zu Ende gedacht wird, sieht man exemplarisch an FIT-Connect. Übermittelt wird digital, dann aber oft ausgedruckt und abgeheftet."
"https://www.golem.de/news/flucht-vor-der-polizei-malware-entwickler-taeuscht-eigenen-tod-vor-2602-205389.html","Danach konnte den Angaben zufolge noch ein zweiter IcedID-Entwickler gefasst werden, der sich zu dieser Zeit in der ukrainischen Hauptstadt Kyjiw aufhielt. Zusammen waren die beiden Männer wohl Teil einer größeren Gruppe von Malware-Entwicklern, bekannt unter dem Namen Digital 8."
"https://www.zeit.de/","Talentscouting im Fußball: ""Wenn jemand ein Ausnahmetalent ist, dann sieht man das sofort"""
"https://www.zeit.de/","Z+ (abopflichtiger Inhalt); Talentscouting im Fußball: ""Wenn jemand ein Ausnahmetalent ist, dann sieht man das sofort"""
"https://www.zeit.de/","Eine seltsame E-Mail aus dem Jahr 2106 offenbart, wie Computer sich weiterentwickeln werden: Sie lenken dann nicht nur den Verkehr, sondern auch China und die USA."
"https://www.zeit.de/","Kommen Sie, ich nehm Sie eine Runde mit! Dann werden auch Sie verstehen, was diese ästhetische Revolution aus Italien alles kann."
"https://www.zeit.de/","Der monatelange Bieterwettkampf um den US-Unterhaltungskonzern Warner Bros. Discovery ist beendet. Paramount Skydance wird den Hollywoodkonzern übernehmen."
"https://www.zeit.de/","Geldanlage"
"https://www.zeit.de/","Geschichtspodcast: Die Macht der Siedler: Israel und das Westjordanland"
"https://www.zeit.de/","Geschichtspodcast: Die Macht der Siedler: Israel und das Westjordanland"
"https://www.zeit.de/","Viele israelische Siedler im Westjordanland lehnen einen palästinensischen Staat ab. Wie wurde aus einer kleinen radikal religiösen Gruppe eine einflussreiche Bewegung?"
"https://www.zeit.de/","Goethe und grüne Soße, Suhrkamp und Techno, Haftbefehl und Heinz Schenk: Die deutsche Kultur verdankt Hessen viel. Dabei ist das Bundesland nur ausgedacht."
"https://www.zeit.de/","Sie sind Sudoku-Anfänger? Dann steigen Sie mit unseren niedrigen Schwierigkeitsgraden in die Sudoku-Welt ein."
"https://www.zeit.de/","Daniel Berlin: Der Koch, der Tod, die Sterne"
"https://www.zeit.de/","Z+ (abopflichtiger Inhalt); Daniel Berlin: Der Koch, der Tod, die Sterne"
"https://www.zeit.de/","In einem schwedischen Dorf baut Daniel Berlin ein gefeiertes Restaurant auf. Seine Frau bekommt Zwillinge. Und stirbt. Heute feiern sie ihn wieder, aber er ist anders."
"https://www.zeit.de/","Ihr Browser unterstützt die Wiedergabe von Audio Dateien nicht. Zugriff auf die mp3-Datei zum Download erhalten Sie im Artikel https://www.zeit.de/zeit-magazin/2026/10/daniel-berlin-koch-restaurant-vyn-schweden-michelin-sterne"
"https://www.zeit.de/","Es soll gut werden, aber nicht kompliziert sein? Mit Ricotta statt Béchamel spart man Zeit. Und dank Miso schmeckt die Linsensoße, als hätte sie stundenlang gekocht."
"https://www.zeit.de/","Talentscouting im Fußball: ""Wenn jemand ein Ausnahmetalent ist, dann sieht man das sofort"""
"https://www.zeit.de/","Z+ (abopflichtiger Inhalt); Talentscouting im Fußball: ""Wenn jemand ein Ausnahmetalent ist, dann sieht man das sofort"""
"https://www.zeit.de/","Eine seltsame E-Mail aus dem Jahr 2106 offenbart, wie Computer sich weiterentwickeln werden: Sie lenken dann nicht nur den Verkehr, sondern auch China und die USA."
"https://www.zeit.de/","Kommen Sie, ich nehm Sie eine Runde mit! Dann werden auch Sie verstehen, was diese ästhetische Revolution aus Italien alles kann."
"https://www.zeit.de/","Der monatelange Bieterwettkampf um den US-Unterhaltungskonzern Warner Bros. Discovery ist beendet. Paramount Skydance wird den Hollywoodkonzern übernehmen."
"https://www.zeit.de/","Geldanlage"
"https://www.zeit.de/","Geschichtspodcast: Die Macht der Siedler: Israel und das Westjordanland"
"https://www.zeit.de/","Geschichtspodcast: Die Macht der Siedler: Israel und das Westjordanland"
"https://www.zeit.de/","Viele israelische Siedler im Westjordanland lehnen einen palästinensischen Staat ab. Wie wurde aus einer kleinen radikal religiösen Gruppe eine einflussreiche Bewegung?"
"https://www.zeit.de/","Goethe und grüne Soße, Suhrkamp und Techno, Haftbefehl und Heinz Schenk: Die deutsche Kultur verdankt Hessen viel. Dabei ist das Bundesland nur ausgedacht."
"https://www.zeit.de/","Sie sind Sudoku-Anfänger? Dann steigen Sie mit unseren niedrigen Schwierigkeitsgraden in die Sudoku-Welt ein."
"https://www.zeit.de/","Daniel Berlin: Der Koch, der Tod, die Sterne"
"https://www.zeit.de/","Z+ (abopflichtiger Inhalt); Daniel Berlin: Der Koch, der Tod, die Sterne"
"https://www.zeit.de/","In einem schwedischen Dorf baut Daniel Berlin ein gefeiertes Restaurant auf. Seine Frau bekommt Zwillinge. Und stirbt. Heute feiern sie ihn wieder, aber er ist anders."
"https://www.zeit.de/","Ihr Browser unterstützt die Wiedergabe von Audio Dateien nicht. Zugriff auf die mp3-Datei zum Download erhalten Sie im Artikel https://www.zeit.de/zeit-magazin/2026/10/daniel-berlin-koch-restaurant-vyn-schweden-michelin-sterne"
"https://www.zeit.de/","Es soll gut werden, aber nicht kompliziert sein? Mit Ricotta statt Béchamel spart man Zeit. Und dank Miso schmeckt die Linsensoße, als hätte sie stundenlang gekocht."
